iter	Passed	Remaining
756	11689	3752
757	11704	3736
758	11717	3720
759	11731	3704
760	11746	3689
761	11761	3673
762	11775	3657
763	11790	3642
764	11806	3626
765	11820	3610
766	11834	3595
767	11849	3579
768	11864	3563
769	11879	3548
770	11893	3532
771	11909	3517
772	11925	3501
773	11940	3486
774	11955	3470
775	11970	3455
776	11985	3439
777	11999	3423
778	12014	3408
779	12029	3393
780	12044	3377
781	12059	3361
782	12074	3346
783	12088	3330
784	12103	3314
785	12117	3299
786	12137	3284
787	12160	3271
788	12178	3256
789	12195	3241
790	12211	3226
791	12227	3211
792	12242	3195
793	12257	3180
794	12271	3164
795	12288	3149
796	12304	3134
797	12322	3119
798	12339	3104
799	12356	3089
800	12373	3074
801	12389	3058
802	12404	3043
803	12419	3027
804	12434	3011
805	12450	2996
806	12465	2981
807	12481	2965
808	12496	2950
809	12512	2934
810	12527	2919
811	12541	2903
812	12556	2888
813	12572	2872
814	12587	2857
815	12602	2841
816	12616	2825
817	12629	2809
818	12644	2794
819	12659	2778
820	12674	2763
821	12689	2747
822	12704	2732
823	12721	2717
824	12736	2701
825	12752	2686
826	12767	2670
827	12782	2655
828	12797	2639
829	12813	2624
830	12828	2608
831	12844	2593
832	12860	2578
833	12875	2562
834	12891	2547
835	12905	2531
836	12921	2516
837	12935	2500
838	12951	2485
839	12965	2469
840	12980	2454
841	12994	2438
842	13009	2422
843	13023	2407
844	13038	2391
845	13054	2376
846	13068	2360
847	13082	2345
848	13097	2329
849	13112	2313
850	13127	2298
851	13142	2282
852	13157	2267
853	13172	2251
854	13187	2236
855	13202	2220
856	13216	2205
857	13230	2189
858	13245	2174
859	13260	2158
860	13275	2143
861	13290	2127
862	13305	2112
863	13320	2096
864	13334	2081
865	13350	2065
866	13363	2050
867	13379	2034
868	13395	2019
869	13410	2003
870	13426	1988
871	13439	1972
872	13455	1957
873	13468	1941
874	13483	1926
875	13498	1910
876	13514	1895
877	13529	1879
878	13544	1864
879	13559	1849
880	13575	1833
881	13589	1818
882	13605	1802
883	13620	1787
884	13635	1771
885	13648	1756
886	13662	1740
887	13678	1725
888	13691	1709
889	13706	1694
890	13721	1678
891	13736	1663
892	13751	1647
893	13767	1632
894	13782	1616
895	13797	1601
896	13814	1586
897	13829	1570
898	13844	1555
899	13859	1539
900	13872	1524
901	13884	1508
902	13899	1493
903	13914	1477
904	13929	1462
905	13944	1446
906	13958	1431
907	13973	1415
908	13988	1400
909	14003	1384
910	14015	1369
911	14031	1353
912	14046	1338
913	14062	1323
914	14077	1307
915	14091	1292
916	14105	1276
917	14121	1261
918	14137	1246
919	14151	1230
920	14167	1215
921	14182	1199
922	14195	1184
923	14208	1168
924	14222	1153
925	14237	1137
926	14251	1122
927	14267	1106
928	14281	1091
929	14296	1076
930	14312	1060
931	14327	1045
932	14343	1029
933	14357	1014
934	14371	999
935	14385	983
936	14401	968
937	14415	952
938	14429	937
939	14444	922
940	14458	906
941	14474	891
942	14487	875
943	14502	860
944	14517	844
945	14532	829
946	14547	814
947	14562	798
948	14578	783
949	14592	768
950	14608	752
951	14623	737
952	14639	721
953	14654	706
954	14668	691
955	14683	675
956	14696	660
957	14711	644
958	14725	629
959	14741	614
960	14755	598
961	14770	583
962	14784	568
963	14799	552
964	14814	537
965	14828	521
966	14844	506
967	14859	491
968	14874	475
969	14889	460
970	14902	445
971	14917	429
972	14932	414
973	14946	398
974	14961	383
975	14976	368
976	14990	352
977	15006	337
978	15020	322
979	15036	306
980	15048	291
981	15062	276
982	15078	260
983	15092	245
984	15107	230
985	15123	214
986	15138	199
987	15153	184
988	15168	168
989	15183	153
990	15197	138
991	15212	122
992	15226	107
993	15239	91
994	15254	76
995	15266	61
996	15280	45
997	15295	30
998	15308	15
999	15320	0
